month,day,births,above/below median,mediannum
6,2,29,46420,below,0
7,12,25,153778,below,0
8,1,1,160369,below,0
9,12,24,165050,below,0
10,1,2,169896,below,0
11,7,4,173413,below,0
12,12,26,175341,below,0
13,12,23,178667,below,0
14,1,3,180036,below,0
15,11,27,180462,below,0
16,1,9,181511,below,0
17,4,13,182379,below,0
18,5,3,182809,below,0
19,1,4,182854,below,0
20,4,27,182878,below,0
21,5,4,183080,below,0
22,4,24,183246,below,0
23,4,19,183308,below,0
24,4,5,183473,below,0
25,11,26,183490,below,0
26,4,26,183540,below,0
27,11,28,183631,below,0
28,4,12,183632,below,0
29,4,20,183651,below,0
30,1,10,183668,below,0
31,5,31,183882,below,0
32,1,31,183931,below,0
33,5,30,184047,below,0
34,11,22,184076,below,0
35,4,25,184090,below,0
36,1,5,184145,below,0
37,4,17,184176,below,0
38,5,9,184354,below,0
39,4,11,184398,below,0
40,4,10,184427,below,0
41,4,29,184530,below,0
42,4,30,184604,below,0
43,5,2,184668,below,0
44,5,10,184927,below,0
45,5,8,184950,below,0
46,4,1,184953,below,0
47,5,17,185069,below,0
48,1,8,185186,below,0
49,4,18,185340,below,0
50,2,13,185576,below,0
51,4,6,185714,below,0
52,4,23,185749,below,0
53,1,30,185769,below,0
54,11,24,185885,below,0
55,2,7,185986,below,0
56,11,25,185992,below,0
57,4,9,185995,below,0
58,11,23,186026,below,0
59,5,1,186051,below,0
60,5,11,186088,below,0
61,3,13,186098,below,0
62,4,3,186117,below,0
63,1,24,186128,below,0
64,1,17,186186,below,0
65,4,21,186257,below,0
66,4,16,186258,below,0
67,4,28,186262,below,0
68,5,26,186310,below,0
69,5,7,186358,below,0
70,2,1,186458,below,0
71,5,16,186458,below,0
72,5,13,186466,below,0
73,5,25,186477,below,0
74,12,22,186477,below,0
75,10,31,186512,below,0
76,3,30,186537,below,0
77,3,29,186601,below,0
78,1,16,186601,below,0
79,1,23,186670,below,0
80,3,22,186688,below,0
81,1,6,186726,below,0
82,2,8,186741,below,0
83,3,15,186801,below,0
84,5,14,186836,below,0
85,6,13,186857,below,0
86,2,21,186860,below,0
87,5,28,186866,below,0
88,5,18,186955,below,0
89,1,11,187006,below,0
90,12,13,187067,below,0
91,11,29,187069,below,0
92,2,6,187124,below,0
93,5,15,187141,below,0
94,5,6,187158,below,0
95,4,4,187181,below,0
96,4,14,187205,below,0
97,3,27,187234,below,0
98,6,7,187242,below,0
99,6,8,187278,below,0
100,12,6,187322,below,0
101,4,22,187468,below,0
102,5,5,187492,below,0
103,5,24,187565,below,0
104,4,7,187594,below,0
105,3,9,187683,below,0
106,2,27,187750,below,0
107,3,28,187786,below,0
108,2,28,187812,below,0
109,3,23,187888,below,0
110,1,25,187920,below,0
111,7,5,187953,below,0
112,5,12,187962,below,0
113,1,12,188032,below,0
114,1,29,188092,below,0
115,4,15,188116,below,0
116,3,16,188147,below,0
117,5,29,188162,below,0
118,12,7,188173,below,0
119,2,15,188253,below,0
120,6,5,188275,below,0
121,1,7,188277,below,0
122,1,18,188293,below,0
123,4,8,188481,below,0
124,5,22,188540,below,0
125,2,9,188543,below,0
126,1,26,188636,below,0
127,3,20,188654,below,0
128,3,8,188729,below,0
129,12,4,188749,below,0
130,3,14,188761,below,0
131,5,23,188844,below,0
132,5,19,188870,below,0
133,3,6,188875,below,0
134,3,7,188898,below,0
135,3,26,188913,below,0
136,3,21,188915,below,0
137,3,31,188930,below,0
138,6,14,188978,below,0
139,3,24,189002,below,0
140,5,21,189032,below,0
141,11,2,189086,below,0
142,2,5,189132,below,0
143,11,1,189192,below,0
144,1,13,189202,below,0
145,1,19,189261,below,0
146,2,16,189281,below,0
147,11,13,189313,below,0
148,1,15,189346,below,0
149,12,5,189387,below,0
150,5,27,189526,below,0
151,12,11,189540,below,0
152,3,1,189687,below,0
153,1,22,189712,below,0
154,2,2,189721,below,0
155,4,2,189753,below,0
156,10,25,189774,below,0
157,6,4,189779,below,0
158,10,30,189802,below,0
159,6,12,189850,below,0
160,1,27,189881,below,0
161,3,19,189925,below,0
162,6,15,190019,below,0
163,3,2,190022,below,0
164,6,21,190047,below,0
165,2,20,190051,below,0
166,6,1,190059,below,0
167,11,15,190061,below,0
168,2,22,190061,below,0
169,2,19,190064,below,0
170,10,18,190065,below,0
171,11,8,190110,below,0
172,10,23,190220,below,0
173,2,23,190298,below,0
174,11,6,190339,below,0
175,12,3,190340,below,0
176,10,24,190351,below,0
177,2,4,190433,below,0
178,2,3,190473,below,0
179,3,12,190497,below,0
180,11,30,190619,below,0
181,1,20,190701,below,0
182,6,19,190759,below,0
183,1,28,190872,below,0
184,6,6,190874,below,0
185,3,18,190940,below,0
186,6,11,190945,above,1
187,3,25,190946,above,1
188,11,16,190978,above,1
189,10,29,191023,above,1
190,3,5,191264,above,1
191,11,14,191286,above,1
192,10,19,191314,above,1
193,11,7,191327,above,1
194,6,3,191331,above,1
195,11,9,191365,above,1
196,6,9,191371,above,1
197,12,10,191413,above,1
198,3,10,191415,above,1
199,3,11,191429,above,1
200,10,26,191522,above,1
201,1,21,191610,above,1
202,2,26,191623,above,1
203,11,12,191641,above,1
204,12,12,191652,above,1
205,12,14,191684,above,1
206,2,17,191707,above,1
207,12,9,191753,above,1
208,6,22,191825,above,1
209,11,21,192033,above,1
210,2,10,192034,above,1
211,12,8,192152,above,1
212,6,2,192186,above,1
213,5,20,192277,above,1
214,11,5,192323,above,1
215,10,22,192410,above,1
216,2,11,192632,above,1
217,12,21,192644,above,1
218,1,14,192648,above,1
219,6,18,192651,above,1
220,10,17,192754,above,1
221,11,20,192775,above,1
222,2,18,192839,above,1
223,10,27,192854,above,1
224,3,4,192862,above,1
225,11,3,192871,above,1
226,2,12,192948,above,1
227,10,28,193044,above,1
228,10,16,193138,above,1
229,3,17,193142,above,1
230,2,24,193160,above,1
231,12,2,193212,above,1
232,6,20,193251,above,1
233,6,10,193255,above,1
234,10,20,193313,above,1
235,11,10,193452,above,1
236,12,1,193460,above,1
237,11,17,193696,above,1
238,11,19,193775,above,1
239,11,11,193812,above,1
240,11,4,193976,above,1
241,12,27,194006,above,1
242,6,23,194022,above,1
243,6,27,194093,above,1
244,6,26,194159,above,1
245,10,11,194175,above,1
246,2,25,194281,above,1
247,6,16,194334,above,1
248,12,31,194368,above,1
249,10,21,194507,above,1
250,2,14,194510,above,1
251,6,28,194519,above,1
252,6,17,194544,above,1
253,11,18,194612,above,1
254,10,13,194635,above,1
255,7,3,194777,above,1
256,3,3,194871,above,1
257,12,20,195081,above,1
258,6,29,195266,above,1
259,6,25,195637,above,1
260,10,12,195737,above,1
261,6,24,195901,above,1
262,9,1,196333,above,1
263,10,15,196778,above,1
264,12,15,196832,above,1
265,7,13,197296,above,1
266,10,14,197362,above,1
267,12,18,197455,above,1
268,7,12,197467,above,1
269,10,9,197817,above,1
270,12,17,198064,above,1
271,9,5,198184,above,1
272,9,6,198200,above,1
273,12,19,198517,above,1
274,12,16,198724,above,1
275,7,19,198794,above,1
276,10,10,199039,above,1
277,6,30,199264,above,1
278,9,2,199280,above,1
279,7,11,199289,above,1
280,7,6,199380,above,1
281,10,8,199595,above,1
282,9,7,199818,above,1
283,7,26,199948,above,1
284,7,18,200012,above,1
285,9,3,200157,above,1
286,10,4,200207,above,1
287,8,23,200282,above,1
288,8,2,200341,above,1
289,9,4,200536,above,1
290,7,2,200858,above,1
291,7,1,200879,above,1
292,10,7,200964,above,1
293,10,5,201003,above,1
294,8,9,201111,above,1
295,8,30,201114,above,1
296,7,25,201173,above,1
297,8,24,201408,above,1
298,7,24,201442,above,1
299,7,10,201652,above,1
300,12,28,201768,above,1
301,7,31,201811,above,1
302,7,17,201861,above,1
303,8,16,201912,above,1
304,10,6,201924,above,1
305,8,31,201946,above,1
306,7,20,202302,above,1
307,8,22,202354,above,1
308,8,29,202480,above,1
309,8,3,202610,above,1
310,10,3,202695,above,1
311,8,1,202720,above,1
312,7,27,202810,above,1
313,9,13,202955,above,1
314,8,17,202996,above,1
315,7,9,203016,above,1
316,8,13,203052,above,1
317,8,21,203288,above,1
318,8,7,203307,above,1
319,8,10,203335,above,1
320,7,21,203494,above,1
321,8,4,203518,above,1
322,7,23,203691,above,1
323,7,16,203710,above,1
324,8,14,203870,above,1
325,8,28,203991,above,1
326,7,30,204049,above,1
327,10,2,204145,above,1
328,8,11,204169,above,1
329,7,14,204240,above,1
330,8,15,204260,above,1
331,8,25,204307,above,1
332,8,5,204320,above,1
333,8,6,204437,above,1
334,12,29,204806,above,1
335,8,27,204988,above,1
336,7,28,205341,above,1
337,7,22,205427,above,1
338,7,15,205605,above,1
339,8,20,205644,above,1
340,8,18,205920,above,1
341,7,29,206076,above,1
342,9,11,206078,above,1
343,8,19,206136,above,1
344,7,7,206137,above,1
345,8,8,206143,above,1
346,7,8,206392,above,1
347,9,12,206433,above,1
348,9,8,206619,above,1
349,10,1,206693,above,1
350,8,26,206700,above,1
351,9,28,206738,above,1
352,12,30,206894,above,1
353,8,12,207105,above,1
354,9,27,207606,above,1
355,9,14,208171,above,1
356,9,10,208580,above,1
357,9,29,208753,above,1
358,9,30,208991,above,1
359,9,25,209600,above,1
360,9,18,209867,above,1
361,9,20,209931,above,1
362,9,26,210026,above,1
363,9,15,210214,above,1
364,9,19,210460,above,1
365,9,9,210536,above,1
366,9,21,210876,above,1
367,9,17,211263,above,1
368,9,24,211362,above,1
369,9,22,212673,above,1
370,9,23,212817,above,1
371,9,16,212915,above,1
